word	weight
odota	0.0002984417884317704
menee	0.0002942698781694864
tarvitse	0.0002935831342304302
teitä	0.00029284006697027535
haluaa	0.0002923946785601548
pian	0.0002857658131582645
kertoa	0.0002813925277601934
meidät	0.0002794584297628449
nähnyt	0.00027690852306447257
saada	0.0002740607547765703
täältä	0.00026907698575095166
teen	0.0002661282789626287
hänestä	0.00025461307922856294
poika	0.0002539317550755262
tehnyt	0.00025312386822198677
luoja	0.00025280531985298166
sanoin	0.00024901945357243467
tekee	0.0002478093843883024
sisään	0.0002457956628927382
enemmän	0.00024467699755298416
vastaan	0.00023820401874648112
usko	0.00023783322515564812
heidät	0.000231868640217449
käy	0.00022895010683981294
tuolla	0.00022768913467773435
asia	0.00022707504450795616
heitä	0.000180310453263377
meille	0.000223707378454788
n	0.0002221125707620481
